id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
589,F,25,L5,8.8,0,0,0,0
590,M,26,L2,5.8,0,0,0,0
591,M,41,L6,6.6,1,0,0,0
592,M,27,AC,7.6,0,0,0,0
593,M,27,AC,0.9,0,0,0,1
594,M,36,AC,3.1,0,0,0,1
595,M,25,AC,5.3,0,0,0,0
596,M,27,L5,7.9,0,0,0,1
597,M,25,AC,7.9,0,0,0,0
598,M,26,L2,8.3,0,0,0,0
599,F,26,L1,8.6,0,0,0,0
600,M,43,AC,2.5,1,0,0,1
601,F,50,AC,0.0,0,0,0,1
602,M,27,AC,7.0,0,0,0,0
603,M,26,L6,8.1,0,0,0,0
604,M,26,L6,6.7,0,0,0,0
605,M,26,L6,8.6,0,0,0,0
606,M,26,L6,8.0,0,0,0,0
607,M,27,AC,4.4,0,0,0,1
608,M,26,AC,6.6,0,0,0,0
609,M,26,AC,9.0,0,0,0,0
610,M,26,AC,7.8,0,0,0,0
611,M,26,AC,4.7,0,0,0,0
612,M,26,AC,7.6,0,0,0,0
613,M,26,L5,5.5,0,0,0,0
614,M,29,AC,6.0,0,0,0,1
615,M,25,AC,6.9,0,0,0,1
616,M,25,AC,9.0,0,0,0,0
617,M,25,AC,6.5,0,0,0,0
618,M,26,L5,0.0,0,0,0,1
619,M,26,AC,8.7,0,0,0,0
620,M,25,AC,8.9,0,0,0,0
621,M,25,AC,5.5,0,0,0,0
622,M,27,AC,8.5,0,0,0,0
623,F,27,L1,7.6,0,0,0,0
624,M,32,L5,7.2,0,0,0,0
625,M,27,AC,7.7,0,0,0,0
626,M,32,AC,6.4,0,0,0,0
627,M,31,AC,5.0,0,0,0,1
628,F,28,L5,5.4,0,0,0,1
629,M,31,L2,0.2,1,0,0,1
630,M,47,L1,0.6,0,0,0,1
